stop_lat,stop_lon,stop_name,road,direction,geohash
54.6056583,-5.8601546,"Circular Road, CIYMS Grounds",,Inbound,gceydssv082p
54.588095,-5.8687,"Clarawood Park, Bus stop",Castlereagh,Outbound,gceyd3qw9qkn
54.588095,-5.8687,"Clarawood Park, Bus stop",Castlereagh,Inbound,gceyd3qw9qkn
54.58552,-5.866952,"Clarawood Road, Bus stop",Castlereagh,Outbound,gceyd2zzdn7w
54.6185,-5.96072,"Cliftonville Circus, Alliance Ave",Alliance Avenue,Outbound,gcey8qgxc4m5
54.6184,-5.96103,"Cliftonville Circus, Alliance Ave",Alliance Avenue,Inbound,gcey8qgr1zty
54.62154,-5.95526,"Cliftonville Circus, Old Park Road",,Outbound,gcey8rx983h3
54.62205,-5.956272,"Cliftonville Circus, Old Park Road",,Inbound,gcey8rwu8b1e
54.6143,-5.9384,"Cliftonville Road, Academy",Cliftonville Road,Outbound,gcey8y5z372j
54.6143,-5.9384,"Cliftonville Road, Academy",Cliftonville Road,Inbound,gcey8y5z372j
54.5754,-5.87957,"Clonduff Drive, Bus stop",Upper Knockbreda Road,Outbound,gcey6pnsspfv
54.672977,-5.910926,"Cloughfern, Station Road",Whiteabbey,Outbound,gcez12zv1mw5
54.6723,-5.913363,"Cloughfern, Whiteabbey Hospl",,Outbound,gcez12y10xku
54.672726,-5.913559,"Cloughfern, Whiteabbey Hospl",,Inbound,gcez12vgsnff
54.6049,-5.8801,"Connsbrook Avenue, Larkfield",Connsbrook Avenue,Outbound,gceydhw0xeps
54.6053,-5.87961,"Connsbrook Avenue, Larkfield",Connsbrook Avenue,Inbound,gceydhwdgjtn
54.598,-5.89082,"Connswater, Newtownards Rd",Newtownards Road,Outbound,gcey9gq2muyh
54.5978,-5.89038,"Connswater, Newtownards Rd",Newtownards Road,Inbound,gcey9gnz0pw7
54.595844,-5.88984,"Connswater, Shopping Centre",,Outbound,gcey9fz5ufbz
54.5389,-6.01351,"Conway, River Road",Ballybog Rd,Outbound,gcewr0t055cf
54.5389,-6.01351,"Conway, River Road",Ballybog Rd,Inbound,gcewr0t055cf
54.6064335,-5.922457,"Corporation St, Clarendon Dock",The Docks,Outbound,gcey9hz3s8zz
54.606477,-5.9221673,"Corporation St, Clarendon Dock",The Docks,Inbound,gcey9hz9g905
54.571,-5.89396,"Cregagh Park, Bus stop",Cregagh Road,Outbound,gcey3yk5hg8y
54.5701,-5.89373,"Cregagh Park, Bus stop",Cregagh Road,Inbound,gcey3yhmf5uq
54.5799,-5.89717,"Cregagh Road, Bell's Bridge",Cregagh Road,Outbound,gcey3zcycyz3
54.578,-5.89666,"Cregagh Road, Bell's Bridge",Cregagh Road,Inbound,gcey3zd5vuee
54.5745,-5.89541,"Cregagh Road, Hamel Drive",Cregagh Road,Outbound,gcey3ygpdbpt
54.6091,-5.94384,"Crumlin Rd, Agnes Street",Crumlin Road,Outbound,gcey8trc46pd
54.6091,-5.94384,"Crumlin Rd, Agnes Street",Crumlin Road,Inbound,gcey8trc46pd
54.6221,-5.97691,"Crumlin Rd, Glenbank Corner",Crumlin Road,Outbound,gcewxzxszcky
54.623,-5.97624,"Crumlin Rd, Glenbank Corner",Crumlin Road,Inbound,gcey8pb4p90q
54.627544,-5.908083,"Dargan Crescent, Bus stop",,Outbound,gceyc89ue8q0
54.668102,-5.912757,"Doagh Road, Abbots Cross",,Outbound,gcez12n2ybbf
54.682762,-5.919479,"Doagh Road, Cherrylands",,Outbound,gcez169w4jst
54.682762,-5.919479,"Doagh Road, Cherrylands",,Inbound,gcez169w4jst
54.6665,-5.912591,"Doagh Road, Green End",,Outbound,gceycrwx6whw
54.6665,-5.912591,"Doagh Road, Green End",,Inbound,gceycrwx6whw
54.678012,-5.91661,"Doagh Road, King's Road",Whiteabbey,Outbound,gcez13gdsbpy
54.6379,-5.926325,"Donegall Park Avenue, Downview Gdns",,Outbound,gceyc4s8fdgb
54.638138,-5.926994,"Donegall Park Avenue, Downview Gdns",,Inbound,gceyc4s45p0u
54.5924,-5.96116,"Donegall Rd, Broadway",Falls Road,Outbound,gcey865pybuy
54.5924,-5.96116,"Donegall Rd, Broadway",Falls Road,Inbound,gcey865pybuy
54.639626,-5.932542,"Downview, Innisfayle Road",,Outbound,gceyc4b4cu80
54.639626,-5.932542,"Downview, Innisfayle Road",,Inbound,gceyc4b4cu80
54.628152,-5.9143996,"Duncrue Road, Cleansing Depot",,Inbound,gceyc2v20985
54.615192,-5.919167,"Duncrue Street, Ulsterbus",,Outbound,gcey9q3u93tn
54.615192,-5.919167,"Duncrue Street, Ulsterbus",,Inbound,gcey9q3u93tn
54.5885,-5.81869,"Dundonald, Ice Bowl",Old Dundonald Rd.,Outbound,gceye9dcn9yq
54.5885,-5.81869,"Dundonald, Ice Bowl",Old Dundonald Rd.,Inbound,gceye9dcn9yq
54.5952,-5.81166,"Dundonald, Ulster Hospital",Upper Newtownards Road,Outbound,gceyefb04dbj
54.5952,-5.81166,"Dundonald, Ulster Hospital",Upper Newtownards Road,Inbound,gceyefb04dbj
54.5512,-6.00342,"Dunmurry, Village",Upper Lisburn Road,Outbound,gcewr6sry0tx
54.5512,-6.00342,"Dunmurry, Village",Upper Lisburn Road,Inbound,gcewr6sry0tx
54.5497999,-5.9271026,"Dunseverick Ave, Drumart Dr",,Outbound,gcey34kp87xz
54.595,-5.81486,"East Link Road, Comber Road",Upper Newtownards Road,Outbound,gceyedtwzvwh
54.5949,-5.81479,"East Link Road, Comber Road",Upper Newtownards Road,Inbound,gceyedty3dfr
54.5817206,-5.9242648,"Elgin Street, Dunnes Stores",Ormeau Road,Outbound,gcey90q1dd5v
54.689266,-5.935136,"Fairview Rd, Ballyduff Shops",,Outbound,gcez0gyhj61g
54.688713,-5.948053,"Fairview Rd, Beverley Shops",,Outbound,gcez0eubb740
54.688713,-5.948053,"Fairview Rd, Beverley Shops",,Inbound,gcez0eubb740
54.68978,-5.936413,"Fairview Rd, Turning Circle",,Outbound,gcez0gvpp9ct
54.68978,-5.936413,"Fairview Rd, Turning Circle",,Inbound,gcez0gvpp9ct
54.5849,-5.97655,"Falls Park, Bus stop",Falls Road,Outbound,gcey80bh06c7
54.5845,-5.97784,"Falls Park, Bus stop",Falls Road,Inbound,gcewxbz1f0r3
54.5881,-5.97011,"Falls Road, City Cemetery",Falls Road,Outbound,gcey81kwwr7k
54.5873,-5.9713,"Falls Road, City Cemetery",Falls Road,Inbound,gcey817f4dk0
54.5952,-5.95546,"Falls Road, Royal Hospitals",Falls Road,Outbound,gcey86z25dzj
54.5945,-5.95684,"Falls Road, Royal Hospitals",Falls Road,Inbound,gcey86wk586j
54.5898,-5.96881,"Falls Road, St James",Falls Road,Outbound,gcey81v8ssk9
54.5898,-5.96881,"Falls Road, St James",Falls Road,Inbound,gcey81v8ssk9
54.676635,-5.909743,"Fernagh Road, Bus stop",Whiteabbey,Outbound,gcez198dmp80
54.5665,-5.98993,"Finaghy Rd Nth, Orchardville",Finaghy Road North,Outbound,gcewrtw2bsb7
54.5663,-5.98952,"Finaghy Rd Nth, Orchardville",Finaghy Road North,Inbound,gcewrtqxdpd4
54.560402,-5.984388,"Finaghy Rd Sth, Health Centre",,Outbound,gcewru6m3shg
54.560047,-5.984251,"Finaghy Rd Sth, Health Centre",,Inbound,gcewru67kcgj
54.5516,-5.97642,"Finaghy Rd Sth, Trossachs Dr",Finaghy Rd South,Outbound,gcey24b45763
54.552,-5.97652,"Finaghy Rd Sth, Trossachs Dr",Finaghy Rd South,Inbound,gcey24bh2vze
54.56068,-5.986075,"Finaghy, Crossroads Lisburn Rd",,Outbound,gcewru3nfrfv
54.561832,-5.98407,"Finaghy, Crossroads Lisburn Rd",,Inbound,gcewrudt9ndj
54.5629,-5.91024,"Forestside, Knockbreda Cemy",Saintfield Road,Inbound,gcey3sb7cmv8
54.5629,-5.91024,"Forestside, Sainsbury",,Outbound,gcey3sb7cmv8
54.5647,-5.91124,"Forestside, Saintfield Rd",Saintfield Road,Outbound,gcey3mpw6j7c
54.565,-5.90907,"Forestside, Upper Galwally",Upper Galwally,Outbound,gcey3t30htnp
54.5651,-5.90935,"Forestside, Upper Galwally",Upper Galwally,Inbound,gcey3t2bwpvk
54.5563,-5.89233,"Four Winds, Ballymaconaghy Rd",Ballymaconaghy Road,Outbound,gcey3gtm6z2m
54.5563,-5.89233,"Four Winds, Ballymaconaghy Rd",Ballymaconaghy Road,Inbound,gcey3gtm6z2m
54.61511,-5.860264,"Garnerville Road, Glenluce",,Outbound,gceydwksjfqm
54.61511,-5.860264,"Garnerville Road, Glenluce",,Inbound,gceydwksjfqm
54.615,-5.86973,"George Best Airport, Belfast",Sydenham By-Pass,Outbound,gceydqmg3muj
54.615,-5.86973,"George Best Airport, Belfast",Sydenham By-Pass,Inbound,gceydqmg3muj
